counter,timestamp,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,crc
177,69,45356,45351,45369,45362,45358,45358,55,52,2178
178,70,45355,45352,45369,45362,45357,45356,56,51,10799
179,70,45355,45351,45368,45361,45358,45357,56,51,47153
180,69,45356,45352,45368,45362,45359,45356,56,51,36510
181,70,45355,45351,45369,45362,45357,45358,56,51,60855
182,70,45354,45351,45370,45362,45358,45357,56,50,12503
183,70,45355,45351,45368,45362,45358,45357,56,51,25267
184,69,45356,45352,45368,45362,45356,45357,56,50,58699
185,70,45355,45352,45368,45362,45357,45358,57,52,53971
186,76,45355,45351,45368,45362,45358,45358,56,51,20707
187,70,45356,45352,45368,45362,45359,45357,56,52,40104
188,69,45354,45352,45368,45363,45357,45356,56,52,59944
189,70,45355,45351,45368,45362,45358,45357,56,52,53999
190,70,45355,45352,45369,45363,45358,45356,55,51,53672
191,69,45356,45352,45369,45361,45357,45357,56,51,24336
192,70,45355,45351,45370,45361,45357,45358,56,52,48904
193,70,45355,45352,45369,45363,45358,45357,57,52,12734
194,70,45355,45351,45369,45362,45357,45357,56,51,56647
195,69,45355,45352,45368,45362,45358,45357,56,51,41708
196,70,45355,45351,45369,45363,45358,45357,57,52,32414
197,70,45356,45351,45367,45362,45358,45358,56,53,37945
198,69,45354,45351,45368,45362,45358,45357,55,51,26894
199,70,45356,45351,45368,45361,45359,45358,56,51,35238
200,76,45355,45351,45369,45363,45359,45357,56,52,55891
201,70,45356,45351,45369,45363,45359,45357,55,52,49879
202,69,45356,45351,45368,45362,45358,45357,56,51,57371
203,70,45355,45351,45367,45362,45358,45356,55,51,42326
204,70,45356,45352,45368,45362,45357,45357,55,52,21210
205,70,45356,45352,45370,45361,45358,45358,57,51,61902
206,69,45355,45351,45369,45363,45358,45357,56,52,12677
207,70,45355,45352,45368,45362,45358,45357,56,52,40511
208,70,45356,45352,45369,45362,45358,45357,56,51,2622
209,69,45355,45352,45368,45363,45358,45356,55,51,24011
210,70,45355,45352,45369,45361,45359,45358,56,52,37622
211,70,45356,45351,45369,45362,45358,45356,56,52,7126
212,70,45355,45352,45369,45362,45359,45358,56,52,8909
213,69,45354,45352,45369,45363,45359,45357,57,52,7749
214,75,45355,45352,45369,45362,45358,45358,57,52,25753
215,70,45356,45351,45369,45363,45358,45358,56,52,59892
216,70,45355,45350,45368,45363,45358,45358,56,52,6458
217,69,45355,45352,45369,45362,45358,45356,55,52,33154
218,70,45354,45352,45368,45363,45358,45357,56,50,48718
219,70,45355,45351,45369,45363,45358,45357,55,52,49952
220,69,45357,45351,45368,45362,45357,45357,56,53,61343
221,70,45354,45351,45368,45361,45358,45357,56,52,61813
222,70,45354,45350,45369,45362,45358,45356,55,52,50846
223,70,45355,45352,45368,45361,45358,45357,56,50,41985
224,69,45356,45351,45369,45361,45358,45357,57,52,3026
225,70,45356,45351,45369,45363,45358,45358,56,52,43115
226,70,45355,45351,45368,45362,45359,45356,55,53,51619
227,69,45355,45351,45368,45362,45359,45358,57,52,62904
