SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
80.021,0.03972405536237633,0.016336018181223693,0.008258143415643081,3345.957405109005,65107.765260980574,54.65962100346076,537.669262997202,0.4200373705904239,0.20467710523999605
80.022,0.03972383790526945,0.0163360567985381,0.008258015478635368,3345.963119602738,65109.593935520315,54.65984356764405,537.6760345271903,0.420039614504681,0.20467460274076751
80.023,0.03972362045824723,0.016336095400456885,0.008257887534031642,3345.9688390583956,65111.42268432195,54.660066161813916,537.6828057079273,0.4200418583598916,0.20467209989119875
80.024,0.039723403021311984,0.016336133986978783,0.008257759581832287,3345.9745634763576,65113.25150738397,54.66028878597262,537.6895765393556,0.420044102156051,0.20466959669127577
80.025,0.03972318559446599,0.016336172558102522,0.008257631622037688,3345.980292857002,65115.0804047049,54.6605114401224,537.6963470214179,0.4200463458931543,0.20466709314098464
80.026,0.039722968177711565,0.016336211113826837,0.008257503654648234,3345.9860272007086,65116.90937628321,54.66073412426552,537.7031171540565,0.4200485895711969,0.20466458924031145
80.027,0.03972275077105098,0.01633624965415046,0.008257375679664305,3345.991766507855,65118.73842211745,54.66095683840423,537.7098869372142,0.420050833190174,0.20466208498924215
80.028,0.03972253337448654,0.01633628817907212,0.008257247697086287,3345.9975107788214,65120.5675422061,54.6611795825408,537.7166563708333,0.42005307675008086,0.2046595803877629
80.029,0.03972231598802055,0.016336326688590547,0.00825711970691457,3346.003260013987,65122.39673654764,54.66140235667747,537.7234254548566,0.42005532025091263,0.20465707543585973
80.03,0.03972209861165529,0.016336365182704475,0.008256991709149534,3346.00901421373,65124.226005140634,54.661625160816506,537.7301941892267,0.4200575636926648,0.20465457013351865
80.031,0.03972188124539307,0.01633640366141264,0.008256863703791566,3346.0147733784297,65126.055347983536,54.66184799496016,537.7369625738859,0.4200598070753324,0.20465206448072568
80.032,0.03972166388923617,0.016336442124713767,0.008256735690841054,3346.0205375084656,65127.88476507484,54.6620708591107,537.7437306087768,0.4200620503989108,0.204649558477467
80.033,0.03972144654318689,0.016336480572606588,0.008256607670298378,3346.0263066042166,65129.71425641311,54.66229375327036,537.7504982938422,0.42006429366339526,0.20464705212372852
80.034,0.03972122920724754,0.016336519005089836,0.008256479642163929,3346.0320806660625,65131.543821996784,54.66251667744142,537.7572656290242,0.420066536868781,0.20464454541949637
80.035,0.0397210118814204,0.016336557422162244,0.00825635160643809,3346.037859694381,65133.37346182436,54.66273963162611,537.7640326142656,0.4200687800150632,0.20464203836475658
80.036,0.03972079456570777,0.01633659582382254,0.008256223563121244,3346.0436436895534,65135.20317589441,54.662962615826714,537.7707992495091,0.4200710231022372,0.2046395309594952
80.037,0.039720577260111946,0.016336634210069454,0.00825609551221378,3346.049432651959,65137.03296420536,54.663185630045476,537.7775655346969,0.4200732661302983,0.20463702320369825
80.038,0.03972035996463523,0.016336672580901723,0.008255967453716085,3346.0552265819747,65138.862826755714,54.663408674284646,537.7843314697717,0.42007550909924163,0.20463451509735187
80.039,0.03972014267927991,0.016336710936318076,0.00825583938762854,3346.0610254799817,65140.69276354402,54.66363174854649,537.7910970546761,0.42007775200906255,0.204632006640442
80.04,0.039719925404048284,0.01633674927631724,0.008255711313951534,3346.0668293463596,65142.52277456872,54.66385485283327,537.7978622893525,0.4200799948597563,0.20462949783295478
80.041,0.03971970813894265,0.01633678760089795,0.008255583232685453,3346.0726381814875,65144.352859828345,54.66407798714722,537.8046271737435,0.420082237651318,0.20462698867487622
80.042,0.03971949088396531,0.01633682591005894,0.008255455143830678,3346.078451985745,65146.18301932139,54.664301151490626,537.8113917077916,0.42008448038374313,0.20462447916619236
80.043,0.03971927363911854,0.016336864203798936,0.0082553270473876,3346.0842707595116,65148.013253046345,54.66452434586573,537.8181558914393,0.42008672305702677,0.20462196930688928
80.044,0.03971905640440467,0.01633690248211667,0.008255198943356605,3346.0900945031667,65149.843561001675,54.664747570274784,537.8249197246291,0.42008896567116416,0.204619459096953
