SoC,R0,R1,R2,C1,C2,A1,A2
90.206,0.17840942489549733,-0.07387690659084527,0.020804765344395196,-700.5215373578394,21803.792141222097,0.27904086675892903,-1.1010773351505903
90.20700000000001,0.17841725167174083,-0.07388132011548726,0.02080620856364456,-700.4790353878003,21802.32063309056,0.27903082755011116,-1.1011268082616448
90.208,0.1784250787587353,-0.07388573379225634,0.02080765186494468,-700.436537107651,21800.84924619484,0.27902078799201857,-1.1011762825777311
90.209,0.17843290615648866,-0.07389014762115591,0.02080909524829818,-700.3940425169659,21799.377980524507,0.2790107480846462,-1.1012257580988647
90.21000000000001,0.17844073386500842,-0.07389456160218914,0.020810538713707635,-700.3515516153213,21797.90683606921,0.27900070782798947,-1.101275234825059
90.211,0.17844856188430214,-0.07389897573535924,0.02081198226117562,-700.3090644022939,21796.43581281858,0.2789906672220435,-1.1013247127563275
90.212,0.17845639021437776,-0.07390339002066956,0.020813425890704763,-700.2665808774582,21794.964910762195,0.2789806262668034,-1.1013741918926854
90.21300000000001,0.17846421885524272,-0.0739078044581233,0.02081486960229764,-700.2241010403909,21793.4941298897,0.2789705849622644,-1.1014236722341464
90.214,0.17847204780690468,-0.07391221904772367,0.02081631339595682,-700.1816248906683,21792.023470190732,0.27896054330842185,-1.1014731537807239
90.215,0.17847987706937146,-0.07391663378947402,0.020817757271684934,-700.1391524278656,21790.552931654875,0.27895050130527066,-1.1015226365324333
90.21600000000001,0.17848770664265068,-0.07392104868337757,0.020819201229484562,-700.0966836515596,21789.08251427176,0.27894045895280617,-1.101572120489288
90.217,0.17849553652674977,-0.0739254637294375,0.020820645269358277,-700.0542185613267,21787.612218031034,0.27893041625102377,-1.101621605651302
90.218,0.17850336672167677,-0.07392987892765716,0.020822089391308706,-700.0117571567422,21786.14204292228,0.27892037319991825,-1.10167109201849
90.21900000000001,0.17851119722743913,-0.07393429427803978,0.02082353359533842,-699.9692994373831,21784.671988935155,0.278910329799485,-1.101720579590866
90.22,0.17851902804404446,-0.07393870978058854,0.020824977881449994,-699.9268454028264,21783.20205605929,0.27890028604971934,-1.101770068368443
90.221,0.17852685917150057,-0.07394312543530682,0.02082642224964606,-699.8843950526474,21781.73224428427,0.2788902419506162,-1.101819558351237
90.22200000000001,0.17853469060981508,-0.07394754124219781,0.020827866699929202,-699.8419483864227,21780.26255359974,0.27888019750217086,-1.1018690495392611
90.223,0.17854252235899554,-0.07395195720126468,0.020829311232301976,-699.7995054037303,21778.79298399535,0.27887015270437876,-1.1019185419325288
90.224,0.17855035441904976,-0.07395637331251083,0.02083075584676702,-699.7570661041452,21777.32353546069,0.2788601075572347,-1.1019680355310557
90.22500000000001,0.17855818678998542,-0.07396078957593945,0.020832200543326913,-699.7146304872447,21775.854207985405,0.2788500620607341,-1.1020175303348552
90.226,0.17856601947181,-0.07396520599155372,0.020833645321984225,-699.6721985526063,21774.385001559138,0.2788400162148722,-1.1020670263439405
90.227,0.17857385246453134,-0.07396962255935706,0.020835090182741583,-699.6297702998053,21772.915916171492,0.278829970019644,-1.1021165235583277
90.22800000000001,0.17858168576815714,-0.07397403927935257,0.02083653512560157,-699.58734572842,21771.446951812104,0.2788199234750448,-1.1021660219780294
90.229,0.17858951938269474,-0.07397845615154355,0.020837980150566753,-699.5449248380269,21769.97810847063,0.27880987658106987,-1.1022155216030598
90.23,0.17859735330815224,-0.0739828731759333,0.020839425257639762,-699.5025076282027,21768.509386136666,0.2787998293377142,-1.102265022433434
90.23100000000001,0.17860518754453703,-0.07398729035252506,0.020840870446823177,-699.4600940985245,21767.040784799854,0.2787897817449731,-1.1023145244691654
90.232,0.1786130220918568,-0.073991707681322,0.020842315718119567,-699.4176842485704,21765.572304449855,0.2787797338028419,-1.1023640277102678
90.233,0.1786208569501193,-0.07399612516232748,0.02084376107153157,-699.3752780779164,21764.103945076255,0.2787696855113155,-1.1024135321567563
90.23400000000001,0.17862869211933224,-0.07400054279554472,0.020845206507061755,-699.3328755861403,21762.635706668716,0.2787596368703892,-1.1024630378086446
90.235,0.17863652759950305,-0.0740049605809769,0.02084665202471269,-699.2904767728199,21761.167589216897,0.2787495878800584,-1.1025125446659463
90.236,0.17864436339063966,-0.07400937851862742,0.02084809762448702,-699.2480816375315,21759.69959271038,0.27873953854031797,-1.1025620527286761
90.23700000000001,0.17865219949274963,-0.07401379660849942,0.020849543306387316,-699.2056901798534,21758.231717138828,0.2787294888511632,-1.1026115619968484
90.238,0.17866003590584045,-0.07401821485059616,0.020850989070416142,-699.1633023993633,21756.763962491907,0.27871943881258954,-1.102661072470476
90.239,0.17866787262992012,-0.07402263324492096,0.02085243491657614,-699.1209182956378,21755.296328759196,0.2787093884245918,-1.1027105841495748
90.24,0.17867570966499602,-0.07402705179147699,0.020853880844869856,-699.0785378682559,21753.828815930396,0.2786993376871655,-1.1027600970341573
90.241,0.17868354701107603,-0.0740314704902676,0.020855326855299935,-699.0361611167939,21752.361423995088,0.27868928660030556,-1.1028096111242391
90.242,0.17869138466816775,-0.074035889341296,0.020856772947868942,-698.9937880408304,21750.89415294294,0.2786792351640072,-1.1028591264198335
90.243,0.1786992226362787,-0.07404030834456538,0.020858219122579454,-698.9514186399435,21749.42700276361,0.27866918337826596,-1.1029086429209543
90.244,0.17870706091541672,-0.07404472750007911,0.0208596653794341,-698.9090529137102,21747.9599734467,0.2786591312430765,-1.1029581606276169
90.245,0.1787148995055895,-0.07404914680784037,0.020861111718435462,-698.866690861709,21746.493064981874,0.27864907875843437,-1.1030076795398343
90.246,0.17872273840680442,-0.0740535662678524,0.020862558139586103,-698.8243324835183,21745.0262773588,0.27863902592433476,-1.1030571996576204
90.247,0.17873057761906952,-0.07405798588011851,0.020864004642888664,-698.7819777787155,21743.55961056707,0.2786289727407726,-1.1031067209809902
90.248,0.1787384171423923,-0.07406240564464196,0.020865451228345717,-698.7396267468788,21742.093064596356,0.2786189192077433,-1.103156243509958
90.249,0.17874625697678032,-0.07406682556142591,0.020866897895959836,-698.6972793875873,21740.62663943632,0.27860886532524215,-1.1032057672445366
90.25,0.17875409712224144,-0.07407124563047372,0.020868344645733655,-698.6549357004182,21739.16033507657,0.27859881109326406,-1.1032552921847414
90.251,0.17876193757878323,-0.07407566585178861,0.02086979147766975,-698.6125956849503,21737.694151506767,0.27858875651180426,-1.1033048183305862
90.252,0.17876977834641328,-0.07408008622537376,0.020871238391770682,-698.5702593407625,21736.22808871659,0.2785787015808583,-1.1033543456820845
90.253,0.17877761942513942,-0.07408450675123258,0.020872685388039103,-698.527926667432,21734.762146695637,0.27856864630042094,-1.1034038742392513
90.254,0.1787854608149692,-0.07408892742936822,0.02087413246647758,-698.4855976645383,21733.296325433577,0.2785585906704875,-1.1034534040021005
90.255,0.1787933025159103,-0.07409334825978389,0.020875579627088685,-698.4432723316603,21731.830624920083,0.27854853469105334,-1.1035029349706453
90.256,0.17880114452797047,-0.07409776924248297,0.020877026869875054,-698.4009506683755,21730.365045144757,0.27853847836211343,-1.1035524671449015
