Time Stamp,Voltage,Last Stable Current
4379431,56.28461829,
4379462,56.28461829,
4379494,56.28461829,
4379525,56.28461829,
4379556,56.28461829,
4379588,56.2823415,
4379619,56.28461829,
4379651,56.28461829,
4379682,56.28461829,
4379714,56.28461829,
4379745,56.28689509,
4379777,56.28917188,
4379808,56.28461829,
4379839,56.28461829,
4379871,56.28461829,
4379903,56.28461829,
4380021,56.28461829,
4380152,56.28461829,
4380187,56.2823415,
4380218,56.28461829,
4380250,56.28461829,
4380282,56.2823415,
4380313,56.28461829,
4380345,56.28461829,
4380377,56.2823415,
4380408,56.28461829,
4380440,56.28461829,
4380471,56.28461829,
4380502,56.28917188,
4380534,56.2823415,
4380565,56.2823415,
4380597,56.28461829,
4380628,56.2823415,
4380659,56.28461829,
4380691,56.28461829,
4380722,56.28689509,
4380826,56.28689509,
4380957,56.28461829,
4380989,56.2823415,
4381021,56.2823415,
4381053,56.28461829,
4381084,56.2823415,
4381115,56.28461829,
4381147,56.28689509,
4381178,56.2823415,
4381210,56.28461829,
4381241,56.28461829,
4381272,56.2823415,
4381304,56.28461829,
4381335,56.2823415,
4381367,56.2823415,
4381398,56.28461829,
4381430,56.28461829,
4381461,56.28461829,
4381492,56.28461829,
4381524,56.28461829,
4381650,56.28461829,
4381781,56.28917188,
4381813,56.2823415,
4381844,56.28461829,
4381876,56.28461829,
4381907,56.28461829,
4381938,56.28461829,
4381970,56.28461829,
4382001,56.28461829,
4382033,56.28689509,
4382064,56.28689509,
4382095,56.28461829,
4382127,56.2823415,
4382158,56.28461829,
4382190,56.28461829,
4382221,56.28689509,
4382253,56.28461829,
4382284,56.2823415,
4382315,56.28461829,
4382347,56.28461829,
4382469,56.28461829,
4382601,56.28689509,
4382633,56.28461829,
4382665,56.2823415,
4382696,56.28461829,
4382727,56.28689509,
4382759,56.28917188,
4382790,56.28461829,
4382821,56.28461829,
4382853,56.28461829,
4382885,56.28689509,
4382916,56.28461829,
4382948,56.28461829,
4382979,56.2823415,
4383010,56.28461829,
4383042,56.28689509,
4383073,56.28461829,
