SoC,OCV
0.21,48.53216110745392
0.211,48.532408215189704
0.212,48.53265532130544
0.213,48.53290242579974
0.214,48.53314952867121
0.215,48.53339662991843
0.216,48.53364372954002
0.217,48.53389082753456
0.218,48.53413792390067
0.219,48.53438501863694
0.22,48.534632111741956
0.221,48.534879203214345
0.222,48.535126293052684
0.223,48.53537338125559
0.224,48.535620467821644
0.225,48.53586755274945
0.226,48.53611463603762
0.227,48.53636171768474
0.228,48.53660879768942
0.229,48.536855876050254
0.23,48.53710295276584
0.231,48.53735002783479
0.232,48.53759710125568
0.233,48.537844173027125
0.234,48.53809124314772
0.235,48.53833831161607
0.236,48.53858537843077
0.237,48.53883244359042
0.238,48.53907950709362
0.239,48.53932656893896
0.24,48.53957362912506
0.241,48.539820687650504
0.242,48.54006774451389
0.243,48.54031479971383
0.244,48.54056185324891
0.245,48.54080890511774
0.246,48.54105595531892
0.247,48.541303003851034
0.248,48.5415500507127
0.249,48.54179709590252
0.25,48.54204413941907
0.251,48.54229118126096
0.252,48.542538221426796
0.253,48.54278525991517
0.254,48.54303229672469
0.255,48.54327933185395
0.256,48.54352636530155
0.257,48.54377339706609
0.258,48.544020427146165
0.259,48.54426745554038
0.26,48.54451448224733
0.261,48.544761507265626
0.262,48.545008530593854
0.263,48.545255552230614
0.264,48.54550257217451
0.265,48.54574959042415
0.266,48.545996606978115
0.267,48.546243621835025
0.268,48.54649063499346
0.269,48.54673764645203
0.27,48.54698465620933
0.271,48.54723166426397
0.272,48.54747867061454
0.273,48.54772567525963
0.274,48.54797267819786
0.275,48.54821967942782
0.276,48.5484666789481
0.277,48.548713676757316
0.278,48.54896067285406
0.279,48.54920766723693
0.28,48.54945465990453
0.281,48.549701650855454
0.282,48.5499486400883
0.283,48.550195627601674
0.284,48.55044261339418
0.285,48.55068959746442
0.286,48.550936579810966
0.287,48.551183560432435
0.288,48.55143053932743
0.289,48.55167751649455
0.29,48.5519244919324
0.291,48.55217146563955
0.292,48.55241843761464
0.293,48.55266540785624
0.294,48.55291237636296
0.295,48.5531593431334
0.296,48.55340630816617
0.297,48.55365327145984
0.298,48.55390023301304
0.299,48.554147192824345
0.3,48.55439415089238
0.301,48.55464110721573
0.302,48.55488806179299
0.303,48.55513501462277
0.304,48.55538196570366
0.305,48.55562891503426
0.306,48.555875862613185
0.307,48.556122808439014
0.308,48.556369752510356
0.309,48.55661669482581
0.31,48.556863635383976
0.311,48.557110574183454
0.312,48.55735751122284
0.313,48.55760444650074
0.314,48.55785138001574
0.315,48.55809831176646
0.316,48.558345241751475
0.317,48.55859216996941
0.318,48.55883909641884
0.319,48.55908602109839
0.32,48.559332944006634
0.321,48.55957986514218
0.322,48.559826784503656
0.323,48.56007370208961
0.324,48.56032061789869
0.325,48.56056753192945
0.326,48.56081444418052
0.327,48.561061354650505
0.328,48.56130826333798
0.329,48.561555170241554
0.33,48.561802075359836
0.331,48.562048978691415
0.332,48.562295880234885
0.333,48.56254277998887
0.334,48.56278967795194
0.335,48.56303657412272
0.336,48.56328346849978
0.337,48.563530361081746
0.338,48.563777251867215
0.339,48.56402414085478
0.34,48.56427102804304
0.341,48.564517913430585
0.342,48.564764797016025
0.343,48.565011678797966
0.344,48.565258558775
0.345,48.56550543694572
0.346,48.56575231330873
0.347,48.56599918786264
0.348,48.56624606060604
0.349,48.566492931537525
0.35,48.5667398006557
0.351,48.56698666795917
0.352,48.567233533446526
0.353,48.56748039711637
0.354,48.5677272589673
0.355,48.56797411899792
0.356,48.56822097720683
0.357,48.568467833592614
0.358,48.568714688153904
0.359,48.56896154088927
0.36,48.56920839179731
0.361,48.56945524087664
0.362,48.56970208812586
0.363,48.56994893354356
0.364,48.57019577712834
0.365,48.5704426188788
0.366,48.570689458793545
0.367,48.57093629687117
0.368,48.571183133110274
0.369,48.57142996750946
0.37,48.57167680006732
0.371,48.571923630782464
0.372,48.572170459653485
0.373,48.572417286678984
0.374,48.57266411185756
0.375,48.572910935187814
0.376,48.57315775666835
0.377,48.573404576297754
0.378,48.57365139407463
0.379,48.57389820999759
0.38,48.57414502406522
0.381,48.574391836276114
0.382,48.574638646628884
0.383,48.574885455122136
0.384,48.575132261754455
0.385,48.57537906652444
0.386,48.5756258694307
0.387,48.57587267047183
0.388,48.57611946964643
0.389,48.5763662669531
0.39,48.57661306239044
0.391,48.576859855957046
0.392,48.57710664765152
0.393,48.57735343747245
0.394,48.57760022541847
0.395,48.577847011488146
0.396,48.578093795680076
0.397,48.57834057799288
0.398,48.57858735842515
0.399,48.57883413697549
0.4,48.57908091364248
0.401,48.57932768842473
0.402,48.57957446132085
0.403,48.57982123232944
0.404,48.58006800144908
0.405,48.58031476867838
0.406,48.58056153401594
0.407,48.580808297460365
0.408,48.581055059010254
0.409,48.581301818664194
0.41,48.581548576420786
0.411,48.581795332278645
0.412,48.58204208623636
0.413,48.582288838292534
0.414,48.58253558844576
0.415,48.58278233669464
0.416,48.58302908303777
0.417,48.58327582747376
0.418,48.58352257000121
0.419,48.5837693106187
0.42,48.58401604932485
0.421,48.58426278611825
0.422,48.5845095209975
0.423,48.5847562539612
0.424,48.585002985007954
0.425,48.58524971413636
0.426,48.585496441345015
0.427,48.58574316663252
0.428,48.58598988999747
0.429,48.586236611438466
0.43,48.58648333095412
0.431,48.58673004854301
0.432,48.586976764203754
0.433,48.587223477934934
0.434,48.58747018973517
0.435,48.587716899603045
0.436,48.58796360753716
0.437,48.58821031353612
0.438,48.58845701759853
0.439,48.58870371972298
0.44,48.588950419908066
0.441,48.58919711815239
0.442,48.58944381445457
0.443,48.589690508813185
0.444,48.58993720122683
0.445,48.590183891694124
0.446,48.590430580213656
0.447,48.59067726678403
0.448,48.59092395140384
0.449,48.59117063407168
0.45,48.59141731478616
0.451,48.59166399354588
0.452,48.59191067034943
0.453,48.59215734519542
0.454,48.59240401808244
0.455,48.59265068900909
0.456,48.59289735797398
0.457,48.59314402497571
0.458,48.59339069001286
0.459,48.59363735308405
0.46,48.59388401418787
0.461,48.59413067332292
0.462,48.594377330487795
0.463,48.59462398568111
0.464,48.59487063890145
0.465,48.59511729014741
0.466,48.59536393941761
0.467,48.595610586710634
0.468,48.59585723202509
0.469,48.59610387535956
0.47,48.59635051671266
0.471,48.59659715608299
0.472,48.59684379346914
0.473,48.59709042886972
0.474,48.59733706228332
0.475,48.59758369370855
0.476,48.597830323143995
0.477,48.59807695058826
0.478,48.59832357603996
0.479,48.598570199497665
0.48,48.59881682096
0.481,48.59906344042555
0.482,48.59931005789293
0.483,48.599556673360716
0.484,48.59980328682754
0.485,48.600049898291964
0.486,48.60029650775261
0.487,48.600543115208076
0.488,48.600789720656955
0.489,48.60103632409785
0.49,48.60128292552936
0.491,48.60152952495009
0.492,48.60177612235863
0.493,48.60202271775358
0.494,48.60226931113355
0.495,48.602515902497125
0.496,48.602762491842924
0.497,48.603009079169524
0.498,48.60325566447554
0.499,48.60350224775957
0.5,48.603748829020205
0.501,48.60399540825605
0.502,48.6042419854657
0.503,48.604488560647766
0.504,48.60473513380084
0.505,48.60498170492352
0.506,48.60522827401441
0.507,48.605474841072095
0.508,48.60572140609519
0.509,48.60596796908229
0.51,48.606214530032005
0.511,48.606461088942915
0.512,48.60670764581363
0.513,48.60695420064275
0.514,48.60720075342886
0.515,48.60744730417059
0.516,48.60769385286651
0.517,48.607940399515236
0.518,48.60818694411536
0.519,48.60843348666549
0.52,48.60868002716421
0.521,48.60892656561015
0.522,48.60917310200187
0.523,48.60941963633798
0.524,48.6096661686171
0.525,48.609912698837825
0.526,48.61015922699873
0.527,48.61040575309844
0.528,48.610652277135536
0.529,48.61089879910863
0.53,48.611145319016316
0.531,48.61139183685721
0.532,48.61163835262988
0.533,48.61188486633295
0.534,48.61213137796501
0.535,48.612377887524666
0.536,48.612624395010506
0.537,48.612870900421136
0.538,48.61311740375516
0.539,48.613363905011184
0.54,48.61361040418778
0.541,48.613856901283576
0.542,48.61410339629715
0.543,48.614349889227114
0.544,48.614596380072065
0.545,48.61484286883061
0.546,48.615089355501325
0.547,48.615335840082835
0.548,48.61558232257373
0.549,48.6158288029726
0.55,48.616075281278064
0.551,48.616321757488706
0.552,48.61656823160313
0.553,48.61681470361994
0.554,48.61706117353772
0.555,48.6173076413551
0.556,48.617554107070646
0.557,48.61780057068298
0.558,48.61804703219069
0.559,48.618293491592375
0.56,48.61853994888664
0.561,48.61878640407208
0.562,48.619032857147296
0.563,48.6192793081109
0.564,48.61952575696147
0.565,48.619772203697615
0.566,48.620018648317945
0.567,48.620265090821036
0.568,48.62051153120551
0.569,48.620757969469956
0.57,48.621004405612965
0.571,48.62125083963316
0.572,48.621497271529115
0.573,48.621743701299444
0.574,48.621990128942755
0.575,48.622236554457636
0.576,48.62248297784267
0.577,48.622729399096485
0.578,48.62297581821766
0.579,48.623222235204814
0.58,48.62346865005653
0.581,48.62371506277141
0.582,48.62396147334806
0.583,48.624207881785075
0.584,48.624454288081054
0.585,48.624700692234605
0.586,48.624947094244305
0.587,48.62519349410878
0.588,48.62543989182662
0.589,48.62568628739641
0.59,48.62593268081678
0.591,48.626179072086295
0.592,48.62642546120359
0.593,48.626671848167234
0.594,48.62691823297584
0.595,48.627164615628
0.596,48.62741099612232
0.597,48.6276573744574
0.598,48.627903750631845
0.599,48.628150124644236
0.6,48.628396496493195
0.601,48.62864286617731
0.602,48.62888923369517
0.603,48.62913559904539
0.604,48.62938196222657
0.605,48.62962832323729
0.606,48.62987468207617
0.607,48.63012103874181
0.608,48.6303673932328
0.609,48.63061374554774
0.61,48.630860095685236
0.611,48.63110644364388
0.612,48.63135278942227
0.613,48.631599133019016
0.614,48.631845474432716
0.615,48.63209181366195
0.616,48.632338150705344
0.617,48.63258448556147
0.618,48.63283081822896
0.619,48.6330771487064
0.62,48.63332347699237
0.621,48.63356980308549
0.622,48.633816126984364
0.623,48.63406244868758
0.624,48.63430876819373
0.625,48.63455508550144
0.626,48.63480140060928
0.627,48.63504771351587
0.628,48.63529402421979
0.629,48.63554033271967
0.63,48.63578663901408
0.631,48.63603294310163
0.632,48.63627924498092
0.633,48.636525544650546
0.634,48.63677184210912
0.635,48.63701813735522
0.636,48.63726443038747
0.637,48.63751072120445
0.638,48.637757009804766
0.639,48.638003296187016
0.64,48.638249580349814
0.641,48.638495862291734
0.642,48.638742142011395
0.643,48.638988419507385
0.644,48.63923469477831
0.645,48.63948096782277
0.646,48.63972723863936
0.647,48.63997350722669
0.648,48.64021977358334
0.649,48.64046603770793
0.65,48.640712299599045
0.651,48.64095855925529
0.652,48.64120481667527
0.653,48.64145107185757
0.654,48.6416973248008
0.655,48.641943575503554
0.656,48.642189823964436
0.657,48.64243607018206
0.658,48.642682314154996
0.659,48.64292855588185
0.66,48.64317479536124
0.661,48.64342103259175
0.662,48.64366726757199
0.663,48.643913500300556
0.664,48.64415973077603
0.665,48.644405958997034
0.666,48.64465218496217
0.667,48.64489840867002
0.668,48.645144630119184
0.669,48.64539084930828
0.67,48.645637066235885
0.671,48.645883280900605
0.672,48.64612949330105
0.673,48.646375703435815
0.674,48.6466219113035
0.675,48.646868116902695
0.676,48.647114320232006
