date,time,time_passed_since_start,Current Out 1,Current Out 2,Current In 1,Current In 2,Voltage,Lost Data
2026-02-25,14:35:05.100789,60410,-0.097500002,1.023750019,3.01875,1.038750076,57.17025,0
2026-02-25,14:35:05.100789,61499,-0.052499998,1.057499981,3.086250114,1.027500057,57.17025,0
2026-02-25,14:35:05.100789,62586,-0.116250002,1.155000019,3.05625,1.188750076,57.17025,0
2026-02-25,14:35:05.100789,63673,-0.101250005,0.986250019,3.045,0.975,57.1725,0
2026-02-25,14:35:05.100789,64762,-0.03,1.117500019,3.048750114,1.113750076,57.168,0
2026-02-25,14:35:10.579180,65909,-0.116250002,1.147499943,3.052499962,1.18125,57.168,0
2026-02-25,14:35:10.579180,66998,-0.067500001,0.986250019,3.07125,0.96,57.1725,0
2026-02-25,14:35:10.579180,68085,-0.082499999,1.155000019,3.05625,1.1625,57.17025,0
2026-02-25,14:35:10.579180,69172,-0.1125,1.091250038,3.033750153,1.125,57.17025,0
2026-02-25,14:35:10.579180,70261,-0.048750001,1.001249981,3.067499924,0.967500019,57.17475,0
2026-02-25,14:35:16.068000,71397,-0.086249995,0.986250019,3.045,0.97125,57.17025,0
2026-02-25,14:35:16.068000,72484,-0.093750006,1.076249981,3.026250076,1.046250057,57.1725,0
2026-02-25,14:35:16.068000,73572,-0.093750006,1.125,2.872500038,1.169999981,57.17025,0
2026-02-25,14:35:16.068000,74660,-0.075,0.986250019,2.879999924,0.952500057,57.17475,0
2026-02-25,14:35:16.068000,75747,-0.078750002,1.128750038,2.921250153,1.128750038,57.1725,0
2026-02-25,14:35:21.569902,76883,-0.075,1.00875,2.910000038,0.963750076,57.17025,0
2026-02-25,14:35:21.569902,77970,-0.1125,1.158749962,2.78625,1.192500019,57.168,0
2026-02-25,14:35:21.569902,79058,-0.093750006,1.035000038,2.78625,1.061250019,57.17025,0
2026-02-25,14:35:21.569902,80145,-0.05625,0.99375,2.83875,0.963750076,57.1725,0
2026-02-25,14:35:21.569902,81232,-0.104999995,1.158749962,2.8125,1.18125,57.168,0
2026-02-25,14:35:27.053992,82376,-0.104999995,1.14375,2.7675,1.185000038,57.17025,0
