date,time,time_passed_since_start,Volt Reading 1,Current Out 1,Volt Reading 2,Current Out 2,Volt Reading 3,Current In 1,Volt Reading 4,Current In 2,Voltage,Lost Data
2026-02-25,16:46:00.739751,404625,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:00.739751,405703,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:00.739751,406782,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:46:06.224450,407913,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:06.224450,408991,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:46:06.224450,410070,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:06.224450,411148,0,0,0,0,0,0,0,0,57.99126,0
2026-02-25,16:46:06.224450,412225,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:11.688208,413402,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:11.688208,414479,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:11.688208,415557,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:11.688208,416636,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:11.688208,417714,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:17.620123,418868,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:17.620123,419945,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:17.620123,421023,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:17.620123,422101,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:17.620123,423180,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:23.371549,424794,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:23.371549,425872,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:23.371549,426950,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:23.371549,428028,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:23.371549,429107,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:29.294089,430557,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:46:29.294089,431635,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:29.294089,432713,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:29.294089,433791,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:46:29.294089,434870,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:34.743763,436471,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:34.743763,437549,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:34.743763,438627,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:46:34.743763,439705,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:34.743763,440784,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:40.568023,441924,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:40.568023,443002,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:40.568023,444082,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:40.568023,445159,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:46:40.568023,446237,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:46.493844,447748,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:46.493844,448826,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:46.493844,449904,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:46.493844,450981,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:46.493844,452061,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:46:51.941572,453671,0,0,0,0,0,0,0,0,57.99812,0
2026-02-25,16:46:51.941572,454749,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:51.941572,455827,0,0,0,0,0,0,0,0,58.0004,0
2026-02-25,16:46:51.941572,456905,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:51.941572,457984,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:57.567048,459123,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:46:57.567048,460201,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:57.567048,461280,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:57.567048,462358,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:46:57.567048,463436,0,0,0,0,0,0,0,0,57.99583,0
2026-02-25,16:47:03.498960,464746,0,0,0,0,0,0,0,0,57.99355,0
2026-02-25,16:47:03.498960,465824,0,0,0,0,0,0,0,0,57.99583,0
