SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
52.184,0.06046853728526215,0.03939359528018201,0.027687808654184697,619.6615340247349,7398.416607687539,23.302136495360557,222.0951126414983,0.3990581666522862,0.31804617346943265
52.185,0.06046782880685914,0.03939373771895059,0.027687858101647107,619.6607829743411,7398.372576464571,23.302201345214268,222.0956090089983,0.39905934546638017,0.3180461348831853
52.186,0.0604671202882945,0.03939388019772678,0.027687907653442232,619.6600316314806,7398.328537633615,23.302266224075108,222.09610559720707,0.3990605241002836,0.31804609633820263
52.187,0.060466411729576716,0.03939402271650817,0.02768795730956968,619.6592799961534,7398.284491194674,23.302331131942147,222.09660240611564,0.3990617025539744,0.3180460578344825
52.188,0.06046570313071429,0.03939416527529235,0.027688007070029063,619.6585280683594,7398.240437147746,23.302396068814446,222.0970994357151,0.3990628808274306,0.31804601937202265
52.189,0.060464994491715725,0.03939430787407691,0.027688056934819984,619.6577758480987,7398.196375492831,23.302461034691074,222.0975966859965,0.39906405892063024,0.3180459809508209
52.19,0.06046428581258954,0.039394450512859426,0.02768810690394205,619.6570233353714,7398.15230622993,23.3025260295711,222.09809415695088,0.3990652368335513,0.31804594257087504
52.191,0.060463577093344205,0.03939459319163749,0.027688156977394872,619.6562705301772,7398.108229359042,23.30259105345359,222.09859184856924,0.3990664145661717,0.3180459042321829
52.192,0.06046286833398826,0.039394735910408686,0.027688207155178043,619.6555174325164,7398.064144880168,23.302656106337604,222.09908976084267,0.3990675921184696,0.3180458659347422
52.193,0.06046215953453019,0.0393948786691706,0.02768825743729118,619.6547640423887,7398.020052793307,23.30272118822221,222.0995878937622,0.3990687694904228,0.3180458276785508
52.194,0.06046145069497851,0.039395021467920815,0.027688307823733875,619.6540103597945,7397.975953098459,23.302786299106476,222.10008624731879,0.3990699466820095,0.3180457894636064
52.195,0.06046074181534173,0.03939516430665691,0.027688358314505734,619.6532563847334,7397.931845795625,23.30285143898946,222.10058482150353,0.3990711236932076,0.31804575128990686
52.196,0.06046003289562835,0.039395307185376476,0.02768840890960636,619.6525021172056,7397.887730884805,23.302916607870227,222.10108361630745,0.399072300523995,0.31804571315744995
52.197,0.06045932393584689,0.03939545010407709,0.027688459609035352,619.6517475572111,7397.843608365998,23.302981805747844,222.1015826317215,0.3990734771743499,0.3180456750662335
